OBJECTID,BOREHOLE,X,Y,GEOL,longitud,latitud,DESCRIPTIO,THICKNESS,PERCCLAY,PERMEABILI
1,Bhnr1,830557,1047819,kclp,-75.605290,5.026840,Chloritic/amfibolitic schists,8,60,0.00000000000
2,Bhnr2,834314,1047725,inch,-75.571420,5.026069,Gneissic intrusive,4,20,0.90000000000
3,Bhnr3,835665,1047825,kis,-75.559250,5.027000,Metasedimentary rock,7,45,0.00000000000
4,Bhnr4,836846,1047706,kis,-75.548600,5.025949,Metasedimentary rock,5,45,0.00000000000
5,Bhnr5,835888,1047913,qal,-75.557240,5.027801,Recent alluvial material,20,0,3.50000000000
6,Bhnr6,835526,1047794,kd,-75.560500,5.026717,Subaquatic lavaflows,8,55,0.00000000000
7,Bhnr7,836200,1047813,kis,-75.554430,5.026903,Metasedimentary rock,9,45,0.00000000000
8,Bhnr8,830123,1047681,tadp,-75.609200,5.025583,Porfyritic andesite,6,65,0.00000000000
9,Bhnr9,830009,1047681,kclp,-75.610230,5.025581,Chloritic/amfibolitic schists,8,60,0.00000000000
10,Bhnr10,829938,1047694,kclp,-75.610870,5.025697,Chloritic/amfibolitic schists,2,60,0.00000000000
11,Bhnr11,832519,1047613,qpfmix,-75.587600,5.025019,Mixed pyroclastic flow and debris flow deposits,40,10,2.50000000000
12,Bhnr12,830530,1047506,tadp,-75.605530,5.024010,Porfyritic andesite,10,65,0.00000000000
13,Bhnr13,835650,1047612,kis,-75.559380,5.025075,Metasedimentary rock,7,45,0.00000000000
14,Bhnr14,834900,1047562,inch,-75.566140,5.024607,Gneissic intrusive,2,20,0.90000000000
15,Bhnr15,832435,1047512,qpfmix,-75.588360,5.024104,Mixed pyroclastic flow and debris flow deposits,40,10,2.50000000000
16,Bhnr16,827555,1047525,kclp,-75.632350,5.024118,Chloritic/amfibolitic schists,4,60,0.00000000000
17,Bhnr17,833746,1047456,kdg,-75.576540,5.023625,Dioritic gabbro,3,35,0.10000000000
18,Bhnr18,833862,1047469,inch,-75.575490,5.023745,Gneissic intrusive,3,20,0.90000000000
19,Bhnr19,834700,1047394,inch,-75.567940,5.023084,Gneissic intrusive,4,20,0.90000000000
20,Bhnr20,834397,1047444,qal,-75.570670,5.023530,Recent alluvial material,20,0,3.50000000000
21,Bhnr21,836356,1047437,kis,-75.553010,5.023507,Metasedimentary rock,9,45,0.00000000000
22,Bhnr22,835494,1047425,kd,-75.560780,5.023381,Subaquatic lavaflows,6,55,0.00000000000
23,Bhnr23,828224,1047238,kclp,-75.626310,5.021538,Chloritic/amfibolitic schists,8,60,0.00000000000
24,Bhnr24,835813,1047319,kis,-75.557900,5.022429,Metasedimentary rock,5,45,0.00000000000
25,Bhnr25,836975,1047288,kis,-75.547430,5.022173,Metasedimentary rock,7,45,0.00000000000
26,Bhnr26,835022,1045656,kd,-75.565000,5.007380,Subaquatic lavaflows,4,55,0.00000000000
27,Bhnr27,830763,1047150,qpfmix,-75.603420,5.020797,Mixed pyroclastic flow and debris flow deposits,35,10,2.50000000000
28,Bhnr28,836918,1047113,kis,-75.547940,5.020590,Metasedimentary rock,9,45,0.00000000000
29,Bhnr29,833756,1047081,inch,-75.576440,5.020235,Gneissic intrusive,2,20,0.90000000000
30,Bhnr30,836940,1047063,kis,-75.547740,5.020138,Metasedimentary rock,7,45,0.00000000000
31,Bhnr31,833597,1047056,kdg,-75.577870,5.020006,Dioritic gabbro,2,35,0.10000000000
32,Bhnr32,834832,1047037,inch,-75.566740,5.019860,Gneissic intrusive,4,20,0.90000000000
33,Bhnr33,835256,1046862,kd,-75.562920,5.018287,Subaquatic lavaflows,6,55,0.00000000000
34,Bhnr34,827763,1046881,kclp,-75.630460,5.018301,Chloritic/amfibolitic schists,8,60,0.00000000000
35,Bhnr35,831489,1046400,qal,-75.596860,5.014032,Recent alluvial material,20,0,3.50000000000
36,Bhnr36,833625,1046650,inch,-75.577610,5.016337,Gneissic intrusive,2,20,0.90000000000
37,Bhnr37,836303,1046644,kis,-75.553470,5.016337,Metasedimentary rock,7,45,0.00000000000
38,Bhnr38,832933,1046550,kdg,-75.583850,5.015418,Dioritic gabbro,4,35,0.10000000000
39,Bhnr39,833567,1046688,inch,-75.578140,5.016679,Gneissic intrusive,4,20,0.90000000000
40,Bhnr40,836794,1046625,kis,-75.549050,5.016175,Metasedimentary rock,9,45,0.00000000000
41,Bhnr41,828131,1046588,kclp,-75.627140,5.015660,Chloritic/amfibolitic schists,4,60,0.00000000000
42,Bhnr42,834580,1046425,qal,-75.569000,5.014322,Recent alluvial material,20,0,3.50000000000
43,Bhnr43,830688,1046412,qdfmix,-75.604080,5.014124,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
44,Bhnr44,830618,1046362,kclp,-75.604710,5.013670,Chloritic/amfibolitic schists,2,60,0.00000000000
45,Bhnr45,836537,1046213,kis,-75.551350,5.012446,Metasedimentary rock,7,45,0.00000000000
46,Bhnr46,833936,1046300,inch,-75.574800,5.013179,Gneissic intrusive,2,20,0.90000000000
47,Bhnr47,836006,1046294,kis,-75.556140,5.013167,Metasedimentary rock,9,45,0.00000000000
48,Bhnr48,833450,1046237,inch,-75.579180,5.012599,Gneissic intrusive,4,20,0.90000000000
49,Bhnr49,835507,1045869,kd,-75.560630,5.009315,Subaquatic lavaflows,8,55,0.00000000000
50,Bhnr50,827306,1045819,kclp,-75.634560,5.008691,Chloritic/amfibolitic schists,8,60,0.00000000000
51,Bhnr51,832937,1046125,kdg,-75.583800,5.011576,Dioritic gabbro,3,35,0.10000000000
52,Bhnr52,829616,1045950,tadp,-75.613740,5.009925,Porfyritic andesite,6,65,0.00000000000
53,Bhnr53,832545,1045888,kdg,-75.587330,5.009426,Dioritic gabbro,4,35,0.10000000000
54,Bhnr54,829148,1045813,kclp,-75.617950,5.008676,Chloritic/amfibolitic schists,4,60,0.00000000000
